condition,count,nc_count
9m_AD_R1,7913.0,164.0
9m_AD_R1,9506.0,226.0
9m_AD_R1,8388.0,219.0
9m_AD_R1,8925.0,254.0
9m_AD_R1,8100.0,211.0
9m_AD_R1,6553.0,169.0
9m_AD_R1,3825.0,108.0
9m_AD_R1,2654.0,60.0
9m_AD_R1,4400.0,106.0
9m_AD_R1,4287.0,78.0
9m_AD_R1,2464.0,85.0
9m_AD_R1,5006.0,129.0
9m_AD_R1,6090.0,148.0
9m_AD_R1,8217.0,196.0
9m_AD_R1,8304.0,157.0
9m_AD_R1,9239.0,253.0
9m_AD_R1,5531.0,124.0
9m_AD_R1,7386.0,154.0
9m_AD_R1,7732.0,194.0
9m_AD_R1,6586.0,122.0
9m_AD_R1,7533.0,197.0
9m_AD_R1,9867.0,268.0
9m_AD_R1,10674.0,324.0
9m_AD_R1,6075.0,173.0
9m_AD_R1,11276.0,358.0
9m_AD_R1,9403.0,376.0
9m_AD_R1,5340.0,192.0
9m_AD_R1,145.0,2.0
9m_AD_R1,206.0,9.0
9m_AD_R1,1640.0,38.0
9m_AD_R1,2341.0,90.0
9m_AD_R1,5032.0,136.0
9m_AD_R1,5610.0,156.0
9m_AD_R1,3566.0,92.0
9m_AD_R1,2681.0,60.0
9m_AD_R1,2890.0,65.0
9m_AD_R1,2967.0,57.0
9m_AD_R1,5273.0,172.0
9m_AD_R1,5788.0,182.0
9m_AD_R1,5544.0,128.0
9m_AD_R1,5243.0,113.0
9m_AD_R1,6126.0,187.0
9m_AD_R1,7652.0,246.0
9m_AD_R1,7259.0,205.0
9m_AD_R1,8777.0,210.0
9m_AD_R1,6842.0,177.0
9m_AD_R1,6853.0,215.0
9m_AD_R1,3693.0,65.0
9m_AD_R1,2211.0,45.0
9m_AD_R1,2241.0,71.0
9m_AD_R1,2384.0,52.0
9m_AD_R1,5686.0,147.0
9m_AD_R1,6044.0,166.0
9m_AD_R1,7688.0,292.0
9m_AD_R1,6449.0,193.0
9m_AD_R1,4371.0,102.0
9m_AD_R1,7407.0,156.0
9m_AD_R1,9133.0,257.0
9m_AD_R1,7911.0,200.0
9m_AD_R1,7014.0,225.0
9m_AD_R1,6399.0,136.0
9m_AD_R1,9364.0,263.0
9m_AD_R1,8351.0,208.0
9m_AD_R1,7519.0,157.0
9m_AD_R1,4334.0,100.0
9m_AD_R1,2981.0,56.0
9m_AD_R1,2996.0,71.0
9m_AD_R1,4891.0,96.0
9m_AD_R1,3224.0,75.0
9m_AD_R1,1632.0,47.0
9m_AD_R1,2491.0,60.0
9m_AD_R1,2940.0,57.0
9m_AD_R1,4025.0,68.0
9m_AD_R1,6484.0,148.0
9m_AD_R1,3133.0,81.0
9m_AD_R1,1897.0,68.0
9m_AD_R1,2652.0,95.0
9m_AD_R1,4876.0,175.0
9m_AD_R1,5654.0,145.0
9m_AD_R1,5116.0,121.0
9m_AD_R1,8294.0,303.0
9m_AD_R1,7877.0,210.0
9m_AD_R1,5857.0,154.0
9m_AD_R1,9069.0,267.0
9m_AD_R1,10849.0,372.0
9m_AD_R1,7356.0,247.0
9m_AD_R1,996.0,29.0
9m_AD_R1,406.0,5.0
9m_AD_R1,342.0,11.0
9m_AD_R1,22.0,1.0
9m_AD_R1,1129.0,22.0
9m_AD_R1,1849.0,58.0
9m_AD_R1,2867.0,51.0
9m_AD_R1,5745.0,141.0
9m_AD_R1,4271.0,124.0
9m_AD_R1,6084.0,204.0
9m_AD_R1,4966.0,111.0
9m_AD_R1,6016.0,173.0
9m_AD_R1,6513.0,202.0
9m_AD_R1,5515.0,163.0
9m_AD_R1,3614.0,73.0
9m_AD_R1,4356.0,113.0
9m_AD_R1,4279.0,115.0
9m_AD_R1,5800.0,194.0
9m_AD_R1,5928.0,152.0
9m_AD_R1,7115.0,225.0
9m_AD_R1,6173.0,151.0
9m_AD_R1,2875.0,55.0
9m_AD_R1,1511.0,42.0
9m_AD_R1,2045.0,70.0
9m_AD_R1,1760.0,57.0
9m_AD_R1,1619.0,28.0
9m_AD_R1,7680.0,205.0
9m_AD_R1,6647.0,136.0
9m_AD_R1,7952.0,181.0
9m_AD_R1,6904.0,168.0
9m_AD_R1,3470.0,66.0
9m_AD_R1,6874.0,165.0
9m_AD_R1,7267.0,159.0
9m_AD_R1,3855.0,84.0
9m_AD_R1,4648.0,82.0
9m_AD_R1,6647.0,116.0
9m_AD_R1,8916.0,186.0
9m_AD_R1,5814.0,135.0
9m_AD_R1,3912.0,92.0
9m_AD_R1,6266.0,182.0
